Ticker,Company,Industry,Headquarter,Date added to SP500,Founded,,
FLT,Fleetcor,Information Technology,Georgia,6/20/18,2000,,
FTNT,Fortinet,Information Technology,California,10/11/18,2000,,
GLW,Corning,Information Technology,New York,,1851,,
GPN,Global Payments,Information Technology,Georgia,4/25/16,2000,,
HPE,Hewlett Packard Enterprise,Information Technology,Texas,11/2/15,2015,,
HPQ,HP,Information Technology,California,12/31/74,1939,,
IBM,IBM,Information Technology,New York,3/4/57,1911,,
INTC,Intel,Information Technology,California,12/31/76,1968,,
INTU,Intuit,Information Technology,California,12/5/00,1983,,
IPGP,IPG Photonics,Information Technology,Massachusetts,3/7/18,1990,,
IT,Gartner,Information Technology,Connecticut,4/5/17,1979,,
JKHY,Jack Henry & Associates,Information Technology,Missouri,11/13/18,1976,,
JNPR,Juniper Networks,Information Technology,California,6/2/06,1996,,
KEYS,Keysight Technologies,Information Technology,California,11/6/18,2014,,
KLAC,KLA Corporation,Information Technology,California,,1975,,
LRCX,Lam Research,Information Technology,California,6/29/12,1980,,
MA,Mastercard,Information Technology,New York,7/18/08,1966,,
MCHP,Microchip Technology,Information Technology,Arizona,9/7/07,1989,,
MPWR,Monolithic Power Systems,Information Technology,Washington,2/12/21,1997,,
MSFT,Microsoft,Information Technology,Washington,6/1/94,1975,,
MSI,Motorola Solutions,Information Technology,Illinois,,1928,,
MU,Micron Technology,Information Technology,Idaho,9/27/94,1978,,
NLOK,NortonLifeLock,Information Technology,Arizona,3/25/03,1982,,
NOW,ServiceNow,Information Technology,California,11/21/19,2003,,
NTAP,NetApp,Information Technology,California,6/25/99,1992,,
NVDA,Nvidia,Information Technology,California,11/30/01,1993,,
NXPI,NXP,Information Technology,Netherlands,3/22/21,1953,,
ORCL,Oracle,Information Technology,Texas,8/31/89,1977,,
PAYC,Paycom,Information Technology,Oklahoma,1/28/20,1998,,
PAYX,Paychex,Information Technology,New York,,1971,,
PTC,PTC,Information Technology,Massachusetts,4/20/21,1985,,
PYPL,PayPal,Information Technology,California,7/20/15,1998,,
QCOM,Qualcomm,Information Technology,California,,1985,,
QRVO,Qorvo,Information Technology,North Carolina,6/11/15,2015,,
SNPS,Synopsys,Information Technology,California,3/16/17,1986,,
STX,Seagate Technology,Information Technology,Ireland,7/2/12,1979,,
SWKS,Skyworks Solutions,Information Technology,Massachusetts,3/12/15,2002,,
TEL,TE Connectivity,Information Technology,Switzerland,10/17/11,2007,,
TER,Teradyne,Information Technology,Massachusetts,9/21/20,1960,,
TRMB,Trimble,Information Technology,California,1/21/21,1978,,
TXN,Texas Instruments,Information Technology,Texas,,1930,,
TYL,Tyler Technologies,Information Technology,Texas,6/22/20,1966,,
V,Visa,Information Technology,California,12/21/09,1958,,
VRSN,Verisign,Information Technology,Virginia,2/1/06,1995,,
WDC,Western Digital,Information Technology,California,7/1/09,1970,,
WU,Western Union,Information Technology,Colorado,9/29/06,1851,,
